Length,Height,Whole weight,Shell weight,Age,Sex_F,Sex_I,Sex_M
0.435,0.125,0.406,0.096,2,0,1,0
0.28,0.08,0.1085,0.0345,1,0,0,1
0.41,0.115,0.387,0.0985,2,1,0,0
0.45,0.14,0.474,0.1275,3,0,1,0
0.45,0.135,0.443,0.1175,2,0,1,0
0.59,0.155,1.066,0.415,3,1,0,0
0.57,0.14,0.9535,0.305,3,1,0,0
0.61,0.15,0.9665,0.345,2,0,1,0
0.61,0.14,1.133,0.35,2,1,0,0
0.56,0.14,0.9175,0.26,2,0,1,0
0.585,0.175,0.982,0.27,2,1,0,0
0.58,0.15,0.8865,0.255,2,0,1,0
0.63,0.175,1.3675,0.515,3,1,0,0
0.625,0.175,1.233,0.365,2,1,0,0
0.55,0.15,0.806,0.245,2,0,1,0
0.645,0.19,1.4635,0.435,3,1,0,0
0.46,0.14,0.4935,0.115,2,0,1,0
0.41,0.1,0.363,0.11,2,1,0,0
0.495,0.125,0.6655,0.2,2,0,1,0
0.52,0.17,0.6805,0.195,2,0,1,0
0.55,0.145,0.8285,0.25,2,1,0,0
0.45,0.14,0.4625,0.15,2,0,0,1
0.405,0.12,0.3095,0.095,2,1,0,0
0.51,0.15,0.745,0.235,2,0,1,0
0.37,0.115,0.25,0.075,2,1,0,0
0.525,0.175,0.874,0.205,3,0,1,0
0.66,0.18,1.514,0.42,3,1,0,0
0.535,0.15,0.6995,0.24,2,0,0,1
0.575,0.18,0.8525,0.3,2,0,1,0
0.55,0.14,0.7135,0.225,2,1,0,0
0.605,0.14,0.939,0.32,2,0,1,0
0.605,0.145,1.054,0.36,2,0,1,0
0.56,0.195,0.981,0.335,3,1,0,0
0.535,0.145,0.926,0.25,3,0,1,0
0.385,0.11,0.286,0.0835,2,1,0,0
0.39,0.1,0.265,0.0865,2,1,0,0
0.47,0.115,0.4885,0.166,2,0,1,0
0.515,0.14,0.5555,0.2235,2,0,1,0
0.425,0.125,0.425,0.154,2,0,1,0
0.345,0.09,0.195,0.059,2,0,0,1
0.485,0.13,0.458,0.136,2,0,1,0
0.37,0.1,0.228,0.081,2,0,0,1
0.35,0.09,0.1775,0.068,2,0,0,1
0.44,0.17,0.4085,0.1515,2,1,0,0
0.195,0.05,0.032,0.012,1,0,0,1
0.325,0.075,0.155,0.06,2,0,0,1
0.495,0.125,0.4775,0.169,3,0,1,0
0.45,0.145,0.525,0.1655,2,0,1,0
0.415,0.135,0.3865,0.148,2,0,0,1
0.47,0.14,0.433,0.152,2,1,0,0
0.32,0.085,0.17,0.049,1,0,0,1
0.31,0.075,0.1295,0.044,2,0,0,1
0.235,0.055,0.0515,0.0195,1,0,0,1
0.345,0.08,0.169,0.054,2,0,0,1
0.485,0.14,0.673,0.195,3,0,1,0
0.5,0.115,0.6785,0.195,2,1,0,0
0.5,0.105,0.498,0.17,3,1,0,0
0.465,0.105,0.498,0.14,2,0,1,0
0.525,0.16,0.658,0.225,2,1,0,0
0.425,0.095,0.322,0.125,2,1,0,0
0.38,0.095,0.2815,0.09,2,1,0,0
0.53,0.145,0.944,0.265,3,0,1,0
0.34,0.085,0.1835,0.065,2,0,0,1
0.475,0.115,0.49,0.1335,2,0,1,0
0.43,0.12,0.391,0.1405,1,1,0,0
0.46,0.125,0.467,0.158,2,0,0,1
0.47,0.13,0.5225,0.165,2,0,1,0
0.36,0.1,0.2105,0.075,2,0,0,1
0.355,0.09,0.168,0.063,2,0,0,1
0.38,0.1,0.258,0.08,1,0,0,1
0.355,0.085,0.1905,0.055,1,0,0,1
0.44,0.12,0.487,0.16,2,0,1,0
0.51,0.13,0.5735,0.195,2,1,0,0
0.325,0.085,0.173,0.05,1,0,0,1
0.62,0.18,1.1785,0.39,2,0,1,0
0.59,0.16,0.9,0.315,3,1,0,0
0.33,0.095,0.1875,0.06,1,0,0,1
0.45,0.13,0.3715,0.105,2,0,0,1
0.445,0.12,0.347,0.105,2,0,1,0
0.33,0.075,0.1145,0.035,1,0,0,1
0.48,0.145,0.777,0.17,2,0,0,1
0.46,0.12,0.4885,0.155,2,0,1,0
0.475,0.125,0.447,0.14,2,1,0,0
0.255,0.065,0.079,0.025,1,0,0,1
0.335,0.09,0.1665,0.06,1,0,1,0
0.47,0.13,0.466,0.145,2,0,1,0
0.31,0.08,0.1345,0.05,1,0,0,1
0.37,0.11,0.2305,0.075,2,1,0,0
0.295,0.075,0.129,0.04,1,0,0,1
0.555,0.165,0.97,0.295,3,1,0,0
0.615,0.17,1.14,0.42,3,1,0,0
0.58,0.195,1.3165,0.41,3,0,1,0
0.585,0.185,0.9585,0.33,2,1,0,0
0.65,0.18,1.626,0.53,3,0,1,0
0.535,0.17,0.781,0.295,2,0,1,0
0.415,0.13,0.3675,0.12,2,1,0,0
0.38,0.105,0.281,0.09,2,1,0,0
0.45,0.12,0.412,0.16,3,0,1,0
0.395,0.095,0.2245,0.08,2,1,0,0
0.455,0.12,0.4835,0.16,2,0,0,1
0.485,0.15,0.605,0.18,2,1,0,0
0.55,0.155,0.9175,0.335,2,0,0,1
0.45,0.145,0.5425,0.175,2,1,0,0
0.475,0.145,0.6175,0.215,2,0,0,1
0.5,0.155,0.655,0.205,3,1,0,0
0.53,0.165,0.8115,0.24,3,1,0,0
0.49,0.15,0.573,0.17,3,0,0,1
0.49,0.15,0.7865,0.24,3,1,0,0
0.52,0.18,0.64,0.245,3,1,0,0
0.54,0.145,0.74,0.245,2,0,0,1
0.5,0.115,0.5945,0.19,2,1,0,0
0.45,0.165,0.8165,0.265,3,1,0,0
0.37,0.1,0.2225,0.08,2,1,0,0
0.37,0.1,0.2295,0.07,1,0,1,0
0.485,0.14,0.5725,0.175,2,0,0,1
0.435,0.115,0.3915,0.12,1,1,0,0
0.535,0.185,0.8345,0.29,3,0,0,1
0.51,0.14,0.6515,0.185,2,0,0,1
0.565,0.185,0.909,0.255,2,0,0,1
0.535,0.15,0.8045,0.21,2,1,0,0
0.535,0.125,0.927,0.345,3,1,0,0
0.525,0.17,0.7305,0.195,2,0,0,1
0.59,0.15,0.9555,0.295,2,0,0,1
0.5,0.15,0.636,0.19,2,0,0,1
0.255,0.075,0.0865,0.025,1,0,1,0
0.43,0.115,0.3865,0.11,2,1,0,0
0.38,0.12,0.283,0.085,2,0,0,1
0.165,0.02,0.019,0.005,1,0,1,0
0.315,0.09,0.1285,0.04,1,0,1,0
0.155,0.05,0.0175,0.005,1,0,1,0
0.28,0.1,0.1165,0.03,1,0,0,1
0.43,0.12,0.444,0.14,2,1,0,0
0.395,0.105,0.3515,0.1195,3,1,0,0
0.385,0.105,0.2905,0.0875,2,0,0,1
0.48,0.135,0.536,0.173,2,1,0,0
0.445,0.105,0.4525,0.123,2,1,0,0
0.395,0.115,0.316,0.1105,2,0,0,1
0.4,0.125,0.417,0.1175,2,0,0,1
0.415,0.14,0.417,0.144,2,0,0,1
0.315,0.09,0.203,0.0795,2,0,0,1
0.345,0.09,0.207,0.0765,2,1,0,0
0.36,0.13,0.2765,0.1005,2,0,0,1
0.295,0.09,0.1105,0.032,1,0,1,0
0.325,0.08,0.176,0.063,1,0,1,0
0.375,0.1,0.2465,0.083,2,0,0,1
0.28,0.055,0.1135,0.0335,1,0,1,0
0.355,0.085,0.201,0.0695,2,0,0,1
0.35,0.08,0.1915,0.063,2,0,0,1
0.275,0.065,0.1035,0.03,1,0,1,0
0.29,0.07,0.0975,0.035,2,0,1,0
0.25,0.06,0.0765,0.0245,1,0,1,0
0.18,0.035,0.0265,0.0085,1,0,1,0
0.15,0.025,0.015,0.005,1,0,1,0
0.16,0.025,0.018,0.005,1,0,1,0
0.555,0.16,1.0575,0.293,2,0,0,1
0.555,0.15,1.092,0.4405,2,0,0,1
0.525,0.13,0.99,0.295,2,0,0,1
0.465,0.08,0.488,0.155,2,0,0,1
0.49,0.11,0.5005,0.195,3,1,0,0
0.4,0.085,0.297,0.1,2,0,0,1
0.48,0.105,0.525,0.155,2,1,0,0
0.505,0.125,0.77,0.255,2,0,0,1
0.52,0.12,0.6515,0.165,2,1,0,0
0.525,0.13,0.8295,0.275,2,0,0,1
0.545,0.13,0.879,0.23,2,0,0,1
0.52,0.12,0.823,0.265,2,0,0,1
0.505,0.13,0.656,0.22,2,0,0,1
0.525,0.12,0.8665,0.29,3,0,0,1
0.51,0.125,0.6565,0.175,2,0,0,1
0.52,0.115,0.669,0.205,2,0,0,1
0.52,0.125,0.6435,0.21,2,1,0,0
0.535,0.135,0.862,0.32,2,0,0,1
0.445,0.09,0.3795,0.125,2,0,0,1
0.53,0.205,0.835,0.245,2,0,0,1
0.36,0.09,0.2065,0.06,2,1,0,0
0.535,0.15,0.7365,0.215,2,1,0,0
0.52,0.14,0.8175,0.26,3,1,0,0
0.53,0.13,0.8425,0.265,3,0,0,1
0.53,0.13,1.001,0.265,3,1,0,0
0.66,0.2,1.676,0.45,3,1,0,0
0.52,0.14,0.6595,0.16,2,0,0,1
0.535,0.13,0.8055,0.28,2,0,0,1
0.695,0.175,1.5165,0.39,2,0,0,1
0.51,0.105,0.612,0.195,2,1,0,0
0.485,0.12,0.547,0.14,2,0,0,1
0.605,0.17,1.122,0.315,2,1,0,0
0.58,0.165,1.1365,0.275,2,1,0,0
0.65,0.175,1.4805,0.525,3,0,0,1
0.62,0.185,1.5275,0.35,2,0,0,1
0.615,0.155,1.1375,0.37,3,0,0,1
0.605,0.19,1.437,0.41,2,1,0,0
0.57,0.155,1.116,0.27,2,0,0,1
0.57,0.12,1.0615,0.31,2,0,0,1
0.585,0.15,1.2565,0.325,2,0,0,1
0.55,0.155,0.946,0.335,3,1,0,0
0.54,0.135,0.959,0.3,3,1,0,0
0.64,0.19,1.613,0.47,2,0,0,1
0.61,0.145,1.153,0.32,2,1,0,0
0.545,0.15,0.978,0.3,2,0,0,1
0.59,0.13,1.1325,0.32,2,1,0,0
0.345,0.095,0.197,0.07,2,0,0,1
0.55,0.155,0.785,0.233,2,1,0,0
0.53,0.17,0.949,0.278,3,1,0,0
0.53,0.165,0.9805,0.2965,2,1,0,0
0.485,0.14,0.521,0.17,2,0,1,0
0.385,0.115,0.2685,0.085,2,0,0,1
0.455,0.135,0.462,0.12,2,0,0,1
0.49,0.14,0.7605,0.185,2,0,0,1
0.53,0.165,0.732,0.31,2,0,0,1
0.505,0.145,0.6775,0.2,2,0,0,1
0.49,0.14,0.6385,0.195,2,0,0,1
0.465,0.14,0.5755,0.19,2,0,0,1
0.47,0.145,0.537,0.195,2,1,0,0
0.56,0.165,0.93,0.3,2,0,0,1
0.505,0.15,0.6415,0.215,2,0,0,1
0.515,0.145,0.8815,0.255,2,0,0,1
0.385,0.125,0.244,0.085,1,0,1,0
0.215,0.06,0.0525,0.015,1,0,1,0
0.55,0.175,1.042,0.2905,2,0,0,1
0.515,0.13,0.5755,0.1845,2,1,0,0
0.495,0.135,0.709,0.262,2,0,0,1
0.505,0.16,0.644,0.1635,2,1,0,0
0.6,0.165,0.8875,0.262,2,1,0,0
0.57,0.16,0.8935,0.263,2,1,0,0
0.485,0.135,0.556,0.1685,2,1,0,0
0.47,0.18,0.51,0.1625,2,0,0,1
0.575,0.165,0.9215,0.256,2,0,0,1
0.58,0.16,1.0345,0.3635,2,0,0,1
0.515,0.145,0.695,0.234,2,0,0,1
0.53,0.155,0.7155,0.214,2,0,0,1
0.44,0.11,0.394,0.122,2,0,0,1
0.52,0.16,0.745,0.2885,2,0,0,1
0.425,0.11,0.3665,0.117,2,1,0,0
0.46,0.135,0.495,0.185,2,0,0,1
0.45,0.125,0.349,0.115,2,0,0,1
0.425,0.13,0.4405,0.155,2,0,0,1
0.37,0.1,0.22,0.065,1,0,1,0
0.515,0.135,0.6615,0.155,2,0,0,1
0.405,0.12,0.3185,0.095,1,0,0,1
0.28,0.07,0.1015,0.03,1,0,1,0
0.48,0.125,0.759,0.24,2,1,0,0
0.44,0.13,0.4195,0.13,2,1,0,0
0.52,0.115,0.807,0.235,2,1,0,0
0.505,0.14,0.875,0.285,2,0,0,1
0.49,0.13,0.6835,0.205,3,1,0,0
0.235,0.055,0.067,0.018,1,0,1,0
0.255,0.06,0.088,0.023,1,0,1,0
0.315,0.085,0.1715,0.0535,1,0,1,0
0.325,0.08,0.1735,0.049,1,0,1,0
0.335,0.08,0.183,0.0575,1,0,1,0
0.35,0.09,0.2055,0.062,1,0,1,0
0.35,0.07,0.18,0.054,1,0,1,0
0.36,0.085,0.27,0.0745,1,0,1,0
0.365,0.135,0.24,0.0735,1,0,1,0
0.37,0.14,0.2215,0.0615,1,0,1,0
0.38,0.095,0.1375,0.0605,1,0,1,0
0.385,0.095,0.312,0.086,1,0,1,0
0.385,0.1,0.2895,0.09,1,0,1,0
0.395,0.095,0.319,0.082,1,0,1,0
0.395,0.095,0.304,0.077,1,0,1,0
0.4,0.1,0.306,0.094,1,0,1,0
0.41,0.1,0.394,0.106,1,0,1,0
0.415,0.11,0.3735,0.109,1,0,1,0
0.415,0.1,0.325,0.091,1,0,0,1
0.425,0.1,0.398,0.0945,1,0,1,0
0.44,0.115,0.501,0.1465,2,0,1,0
0.445,0.1,0.4895,0.1105,1,0,1,0
0.445,0.1,0.378,0.089,1,0,1,0
0.45,0.13,0.547,0.1405,2,0,1,0
0.47,0.12,0.5805,0.169,2,0,0,1
0.475,0.125,0.5465,0.172,2,0,1,0
0.48,0.135,0.6395,0.175,2,1,0,0
0.485,0.105,0.498,0.1525,2,0,1,0
0.49,0.125,0.609,0.1775,2,0,0,1
0.495,0.125,0.7555,0.214,2,1,0,0
0.5,0.125,0.5975,0.166,2,0,0,1
0.505,0.14,0.8275,0.239,2,0,0,1
0.525,0.13,0.7635,0.225,2,0,0,1
0.54,0.125,0.891,0.202,2,0,0,1
0.54,0.14,0.805,0.21,2,1,0,0
0.545,0.135,0.9185,0.2375,2,1,0,0
0.55,0.125,0.923,0.283,2,1,0,0
0.55,0.15,1.0145,0.2875,2,0,0,1
0.55,0.15,0.875,0.2765,2,1,0,0
0.555,0.145,0.9685,0.2385,2,0,0,1
0.565,0.155,1.0595,0.265,2,0,0,1
0.57,0.15,0.952,0.2745,2,0,0,1
0.57,0.13,0.7535,0.194,2,0,0,1
0.575,0.14,0.958,0.2705,2,1,0,0
0.59,0.165,1.077,0.3095,2,0,0,1
0.59,0.13,1.102,0.33,2,0,0,1
0.595,0.15,1.11,0.33,2,1,0,0
0.595,0.16,1.2095,0.32,2,1,0,0
0.595,0.16,1.1405,0.271,1,1,0,0
0.595,0.14,1.113,0.305,2,1,0,0
0.6,0.175,1.3445,0.36,2,0,0,1
0.6,0.155,1.21,0.3205,2,1,0,0
0.6,0.175,1.29,0.3445,2,0,0,1
0.605,0.175,1.382,0.3985,2,1,0,0
0.605,0.16,1.1035,0.325,2,0,0,1
0.615,0.175,1.377,0.292,2,1,0,0
0.615,0.15,1.3435,0.345,2,1,0,0
0.615,0.15,1.296,0.32,2,0,0,1
0.615,0.165,1.34,0.41,2,0,0,1
0.62,0.16,1.3725,0.3685,2,1,0,0
0.62,0.165,1.307,0.315,2,0,0,1
0.625,0.155,1.2085,0.411,2,1,0,0
0.625,0.2,1.3825,0.381,2,1,0,0
0.63,0.165,1.26,0.406,2,0,0,1
0.635,0.17,1.3555,0.39,2,0,0,1
0.635,0.15,1.376,0.31,2,1,0,0
0.635,0.165,1.2945,0.2715,2,1,0,0
0.64,0.165,1.486,0.321,2,1,0,0
0.65,0.175,1.4715,0.399,2,0,0,1
0.655,0.165,1.4095,0.405,2,0,0,1
0.655,0.205,2.0805,0.601,3,0,0,1
0.66,0.17,1.3905,0.453,2,0,0,1
0.66,0.19,1.558,0.4,2,0,0,1
0.67,0.16,1.309,0.413,2,1,0,0
0.675,0.17,1.8095,0.455,2,1,0,0
0.675,0.155,1.4785,0.42,2,1,0,0
0.68,0.195,1.7775,0.415,2,1,0,0
0.685,0.16,1.6675,0.475,2,1,0,0
0.695,0.22,1.834,0.455,2,1,0,0
0.73,0.23,2.8255,0.897,3,0,0,1
0.205,0.05,0.046,0.0135,1,0,1,0
0.24,0.055,0.0705,0.021,1,0,1,0
0.24,0.065,0.0665,0.017,1,0,1,0
0.255,0.05,0.083,0.027,1,0,1,0
0.255,0.055,0.083,0.02,1,0,1,0
0.265,0.06,0.092,0.0245,1,0,1,0
0.28,0.075,0.117,0.0345,1,0,1,0
0.295,0.08,0.1625,0.0385,1,0,1,0
0.3,0.08,0.131,0.043,1,0,1,0
0.3,0.095,0.1385,0.037,1,0,1,0
0.305,0.07,0.141,0.037,1,0,1,0
0.315,0.075,0.1485,0.0425,1,0,1,0
0.315,0.07,0.144,0.04,2,0,1,0
0.32,0.09,0.1575,0.0425,1,0,1,0
0.325,0.075,0.187,0.05,1,0,1,0
0.33,0.085,0.196,0.0445,1,0,1,0
0.335,0.075,0.1825,0.055,1,0,1,0
0.335,0.075,0.186,0.0445,1,0,1,0
0.34,0.075,0.1785,0.045,1,0,1,0
0.34,0.07,0.2225,0.055,1,0,1,0
0.345,0.1,0.2455,0.065,1,0,1,0
0.37,0.095,0.249,0.067,1,0,1,0
0.37,0.095,0.2865,0.0795,1,0,1,0
0.375,0.09,0.215,0.055,1,0,1,0
0.385,0.08,0.251,0.07,1,0,1,0
0.41,0.09,0.339,0.09,1,0,1,0
0.41,0.09,0.3535,0.1,1,0,1,0
0.41,0.09,0.3335,0.091,1,0,1,0
0.415,0.09,0.3595,0.09,1,0,1,0
0.42,0.115,0.376,0.1,1,0,1,0
0.42,0.1,0.3435,0.09,1,0,1,0
0.425,0.1,0.382,0.1,1,0,1,0
0.425,0.1,0.377,0.105,1,0,1,0
0.43,0.1,0.3645,0.105,1,0,1,0
0.43,0.09,0.425,0.095,1,0,1,0
0.435,0.12,0.3995,0.1125,2,0,1,0
0.435,0.115,0.3925,0.1145,1,0,1,0
0.44,0.13,0.4495,0.134,1,0,1,0
0.44,0.09,0.35,0.105,1,0,1,0
0.445,0.11,0.4355,0.1195,1,1,0,0
0.445,0.13,0.4195,0.1195,1,0,1,0
0.45,0.13,0.478,0.137,1,0,1,0
0.45,0.105,0.4445,0.1335,2,0,1,0
0.45,0.11,0.47,0.1135,1,0,1,0
0.45,0.105,0.447,0.119,1,0,1,0
0.455,0.125,0.5325,0.1465,1,0,1,0
0.455,0.12,0.497,0.1295,1,0,1,0
0.46,0.1,0.4635,0.115,1,0,1,0
0.46,0.105,0.449,0.1265,1,0,1,0
0.465,0.115,0.467,0.113,1,0,1,0
0.465,0.115,0.534,0.143,1,0,1,0
0.465,0.11,0.4415,0.12,1,0,1,0
0.465,0.125,0.482,0.1095,1,1,0,0
0.47,0.12,0.612,0.14,2,0,0,1
0.47,0.12,0.582,0.146,2,1,0,0
0.475,0.125,0.537,0.15,2,0,0,1
0.475,0.12,0.5915,0.127,1,1,0,0
0.48,0.115,0.6765,0.17,1,0,0,1
0.48,0.145,0.64,0.1575,1,0,0,1
0.48,0.1,0.439,0.115,2,0,0,1
0.48,0.12,0.6015,0.14,1,0,0,1
0.485,0.115,0.4785,0.129,1,1,0,0
0.49,0.125,0.649,0.1695,2,0,0,1
0.495,0.135,0.6335,0.1495,2,0,0,1
0.495,0.135,0.61,0.144,1,0,0,1
0.5,0.135,0.6595,0.1565,1,0,0,1
0.5,0.12,0.56,0.135,2,0,1,0
0.5,0.135,0.6425,0.1535,1,0,0,1
0.5,0.125,0.6725,0.1825,1,0,0,1
0.505,0.13,0.674,0.1785,2,1,0,0
0.505,0.15,0.685,0.156,2,0,1,0
0.505,0.125,0.642,0.155,2,0,0,1
0.505,0.125,0.601,0.185,2,0,1,0
0.51,0.135,0.769,0.19,2,0,0,1
0.51,0.1,0.5785,0.175,1,0,1,0
0.51,0.135,0.769,0.18,1,0,1,0
0.51,0.15,0.7035,0.1885,2,0,0,1
0.51,0.145,0.796,0.1955,2,0,0,1
0.515,0.14,0.834,0.23,2,1,0,0
0.515,0.155,0.7125,0.155,1,0,0,1
0.525,0.14,0.724,0.175,2,1,0,0
0.525,0.14,0.7325,0.17,2,0,0,1
0.53,0.13,0.7585,0.205,2,1,0,0
0.53,0.15,0.8495,0.202,2,1,0,0
0.53,0.125,0.6515,0.186,1,0,0,1
0.535,0.135,0.8215,0.205,2,1,0,0
0.535,0.14,0.7165,0.2155,2,0,0,1
0.535,0.14,0.874,0.2195,2,0,0,1
0.55,0.155,0.9905,0.218,2,1,0,0
0.55,0.14,0.8105,0.275,2,1,0,0
0.56,0.16,0.967,0.274,2,1,0,0
0.565,0.13,0.6975,0.18,2,1,0,0
0.57,0.155,1.195,0.295,2,0,0,1
0.57,0.155,1.1935,0.343,2,0,0,1
0.57,0.15,1.107,0.27,2,1,0,0
0.57,0.14,1.0635,0.24,2,0,0,1
0.57,0.17,0.9035,0.214,1,0,0,1
0.575,0.16,1.114,0.29,2,0,0,1
0.575,0.16,1.103,0.249,2,1,0,0
0.58,0.15,1.1155,0.29,1,1,0,0
0.58,0.18,1.0515,0.276,2,1,0,0
0.58,0.15,1.012,0.2835,2,0,0,1
0.58,0.145,1.137,0.29,2,1,0,0
0.58,0.13,1.1335,0.237,2,0,0,1
0.59,0.155,1.136,0.275,2,0,0,1
0.59,0.16,1.206,0.309,2,0,0,1
0.59,0.145,1.063,0.25,2,1,0,0
0.595,0.155,1.121,0.155,2,1,0,0
0.595,0.15,1.114,0.25,2,1,0,0
0.595,0.165,1.213,0.274,2,0,0,1
0.595,0.14,1.0045,0.2515,2,1,0,0
0.595,0.15,1.044,0.27,2,0,0,1
0.605,0.15,1.1345,0.295,2,1,0,0
0.605,0.155,1.161,0.275,2,0,0,1
0.605,0.165,1.2315,0.2925,2,0,0,1
0.61,0.15,1.1625,0.3085,2,0,0,1
0.61,0.155,1.168,0.3295,2,0,0,1
0.615,0.16,1.2525,0.33,2,1,0,0
0.62,0.18,1.3315,0.388,2,1,0,0
0.625,0.17,1.3525,0.365,2,1,0,0
0.625,0.175,1.3325,0.405,2,0,0,1
0.625,0.175,1.1435,0.349,2,1,0,0
0.625,0.165,1.288,0.315,2,1,0,0
0.625,0.2,1.38,0.401,2,1,0,0
0.63,0.155,1.278,0.31,2,0,0,1
0.63,0.165,1.3075,0.315,2,1,0,0
0.63,0.15,1.1785,0.3235,2,0,0,1
0.635,0.175,1.375,0.395,2,0,0,1
0.635,0.185,1.4065,0.3745,2,0,0,1
0.64,0.155,1.4025,0.335,2,0,0,1
0.64,0.17,1.5175,0.409,2,1,0,0
0.64,0.175,1.394,0.4,2,1,0,0
0.645,0.155,1.2205,0.3185,2,1,0,0
0.645,0.175,1.636,0.432,2,0,0,1
0.645,0.175,1.561,0.4,2,0,0,1
0.645,0.165,1.4325,0.336,2,1,0,0
0.645,0.175,1.3385,0.349,2,0,0,1
0.645,0.16,1.2465,0.3,2,1,0,0
0.645,0.15,1.212,0.385,2,1,0,0
0.65,0.16,1.304,0.3725,2,0,0,1
0.65,0.21,1.6785,0.46,2,0,0,1
0.65,0.185,1.622,0.477,2,0,0,1
0.655,0.16,1.494,0.1825,2,1,0,0
0.655,0.175,1.6525,0.403,2,1,0,0
0.66,0.185,1.528,0.441,2,1,0,0
0.66,0.19,1.5905,0.5175,2,0,0,1
0.66,0.195,1.6275,0.485,2,0,0,1
0.66,0.18,1.3695,0.335,1,1,0,0
0.67,0.165,1.6085,0.4005,2,0,0,1
0.675,0.225,1.587,0.435,2,1,0,0
0.675,0.195,1.8375,0.553,2,1,0,0
0.68,0.185,1.607,0.498,2,0,0,1
0.69,0.175,1.7005,0.405,2,0,0,1
0.69,0.2,1.872,0.48,2,0,0,1
0.695,0.175,1.8385,0.503,2,1,0,0
0.705,0.18,1.685,0.4045,2,1,0,0
0.71,0.205,2.198,0.5475,2,0,0,1
0.715,0.175,1.9525,0.4135,2,0,0,1
0.715,0.185,1.56,0.405,2,1,0,0
0.735,0.22,2.555,0.6,2,1,0,0
0.765,0.22,2.302,0.6205,2,0,0,1
0.185,0.045,0.029,0.0095,1,0,1,0
0.195,0.045,0.0375,0.011,1,0,1,0
0.195,0.04,0.0325,0.0095,1,0,1,0
0.2,0.04,0.0435,0.007,1,0,1,0
0.225,0.055,0.059,0.015,1,0,1,0
0.245,0.065,0.071,0.0215,1,0,1,0
0.25,0.065,0.0685,0.0225,1,0,1,0
0.265,0.055,0.084,0.025,1,0,1,0
0.275,0.065,0.106,0.028,1,0,1,0
0.28,0.085,0.1075,0.034,1,0,1,0
0.285,0.065,0.096,0.03,1,0,1,0
0.3,0.08,0.1255,0.039,1,0,1,0
0.315,0.055,0.151,0.039,1,0,1,0
0.32,0.085,0.1415,0.0405,1,0,1,0
0.34,0.08,0.2015,0.055,1,0,1,0
0.37,0.1,0.221,0.0635,1,0,1,0
0.375,0.08,0.2345,0.067,1,0,1,0
0.375,0.1,0.2325,0.065,1,0,1,0
0.385,0.08,0.2485,0.065,1,0,1,0
0.4,0.095,0.348,0.087,1,0,1,0
0.405,0.11,0.32,0.093,1,0,1,0
0.41,0.1,0.282,0.0875,1,0,1,0
0.41,0.1,0.3245,0.106,1,0,1,0
0.42,0.105,0.316,0.1035,1,0,1,0
0.42,0.11,0.3625,0.105,1,0,1,0
0.42,0.095,0.279,0.088,1,0,1,0
0.425,0.115,0.3685,0.1045,1,0,1,0
0.43,0.12,0.397,0.1035,1,0,0,1
0.435,0.11,0.413,0.096,1,0,1,0
0.435,0.115,0.418,0.106,1,0,1,0
0.44,0.11,0.3705,0.12,1,0,1,0
0.445,0.105,0.409,0.117,1,0,1,0
0.445,0.145,0.434,0.13,1,0,1,0
0.445,0.11,0.411,0.109,2,0,1,0
0.45,0.125,0.462,0.1315,2,0,1,0
0.45,0.12,0.4925,0.12,1,0,1,0
0.45,0.105,0.3715,0.0975,1,0,1,0
0.45,0.1,0.411,0.098,1,0,1,0
0.45,0.11,0.3685,0.102,1,0,1,0
0.46,0.115,0.4155,0.1175,1,0,1,0
0.47,0.105,0.544,0.129,1,0,0,1
0.47,0.125,0.4845,0.142,1,0,1,0
0.475,0.11,0.4565,0.13,1,0,1,0
0.475,0.1,0.4545,0.115,1,0,1,0
0.48,0.125,0.6245,0.1665,2,0,1,0
0.49,0.125,0.5225,0.141,1,0,0,1
0.5,0.14,0.5495,0.1585,1,0,1,0
0.5,0.12,0.542,0.17,2,0,1,0
0.5,0.125,0.519,0.134,2,0,1,0
0.5,0.125,0.5215,0.131,1,0,0,1
0.505,0.125,0.5445,0.1405,1,1,0,0
0.51,0.125,0.6795,0.182,2,0,1,0
0.51,0.125,0.545,0.1385,1,1,0,0
0.51,0.125,0.5575,0.1525,2,0,1,0
0.51,0.115,0.5155,0.166,2,0,1,0
0.515,0.125,0.6115,0.15,2,0,1,0
0.52,0.145,0.7765,0.185,2,0,0,1
0.52,0.135,0.5395,0.157,2,0,1,0
0.52,0.125,0.5545,0.167,2,0,1,0
0.52,0.15,1.019,0.254,1,1,0,0
0.525,0.13,0.6455,0.17,2,0,1,0
0.525,0.14,0.601,0.1835,2,0,1,0
0.525,0.12,0.7555,0.201,2,0,0,1
0.525,0.12,0.608,0.1405,2,0,1,0
0.53,0.125,0.617,0.19,2,0,1,0
0.535,0.125,0.599,0.169,2,0,1,0
0.54,0.14,0.6665,0.1895,2,0,1,0
0.545,0.135,0.7835,0.156,1,0,0,1
0.545,0.12,0.793,0.19,2,0,0,1
0.545,0.14,0.82,0.218,2,0,0,1
0.55,0.135,0.8145,0.175,2,1,0,0
0.55,0.15,0.84,0.223,2,1,0,0
0.55,0.15,0.8315,0.2165,2,0,0,1
0.56,0.145,0.8995,0.234,2,0,0,1
0.56,0.16,0.8965,0.2215,2,0,0,1
0.56,0.155,0.6405,0.245,2,1,0,0
0.56,0.145,0.852,0.205,2,0,0,1
0.565,0.15,0.9595,0.23,2,0,0,1
